sim,seed,champion,hands,finish_order_bottom_up
1,42,3,46,1-5-6-2-4-3
2,43,5,84,1-3-6-2-4-5
3,44,1,43,6-3-5-2-4-1
4,45,5,87,1-3-2-6-4-5
5,46,2,70,6-1-4-5-3-2
6,47,5,80,1-2-6-3-4-5
7,48,3,79,1-5-4-6-2-3
8,49,2,63,1-3-5-6-4-2
9,50,3,49,6-2-1-4-5-3
10,51,5,122,6-1-3-2-4-5
11,52,6,122,5-3-1-2-4-6
12,53,2,108,1-3-5-6-4-2
13,54,6,147,1-3-5-2-4-6
14,55,2,71,1-6-5-3-4-2
15,56,2,103,1-6-5-3-4-2
16,57,1,68,5-6-3-2-4-1
17,58,3,40,1-6-2-4-5-3
18,59,3,76,1-5-6-2-4-3
19,60,6,82,1-2-3-5-4-6
20,61,1,40,6-5-2-3-4-1
21,62,6,67,3-1-4-2-5-6
22,63,3,90,6-1-5-2-4-3
23,64,6,51,3-1-2-4-5-6
24,65,2,100,3-6-1-5-4-2
25,66,1,47,6-5-2-3-4-1
26,67,3,71,1-5-2-4-6-3
27,68,2,121,1-5-3-6-4-2
28,69,1,42,3-6-5-2-4-1
29,70,3,54,1-2-6-4-5-3
30,71,2,93,5-1-4-6-3-2
31,72,5,48,1-2-3-6-4-5
32,73,6,61,1-5-2-4-3-6
33,74,6,51,1-3-5-2-4-6
34,75,2,137,1-3-6-5-4-2
35,76,5,68,1-4-2-3-6-5
36,77,5,56,1-2-4-3-6-5
37,78,5,70,1-4-3-6-2-5
38,79,3,51,6-1-5-2-4-3
39,80,6,141,1-2-3-5-4-6
40,81,6,49,2-5-1-4-3-6
41,82,2,87,1-3-5-6-4-2
42,83,5,78,1-3-6-4-2-5
43,84,2,117,1-5-3-4-6-2
44,85,5,48,1-3-2-4-6-5
45,86,2,81,4-1-3-6-5-2
46,87,1,14,4-2-3-6-5-1
47,88,6,110,1-2-5-3-4-6
48,89,2,55,6-1-3-4-5-2
49,90,6,101,1-5-3-2-4-6
50,91,6,66,1-2-4-3-5-6
51,92,4,107,1-6-5-2-3-4
52,93,3,67,6-1-5-2-4-3
53,94,5,64,1-2-3-6-4-5
54,95,6,120,1-5-3-2-4-6
55,96,6,72,1-3-5-4-2-6
56,97,4,91,1-3-2-6-5-4
57,98,4,46,1-5-2-6-3-4
58,99,5,68,6-3-1-2-4-5
59,100,5,77,6-1-2-3-4-5
60,101,2,74,1-6-5-4-3-2
61,102,1,62,6-3-5-2-4-1
62,103,2,65,1-3-4-5-6-2
63,104,3,78,5-1-2-4-6-3
64,105,6,98,1-3-2-5-4-6
65,106,6,30,2-3-1-4-5-6
66,107,3,30,1-4-2-6-5-3
67,108,4,65,1-3-2-5-6-4
68,109,1,72,6-3-5-2-4-1
69,110,2,78,6-1-3-5-4-2
70,111,2,99,5-1-3-4-6-2
71,112,6,41,1-4-3-5-2-6
72,113,6,96,3-5-1-4-2-6
73,114,2,91,6-1-5-3-4-2
74,115,3,75,1-5-6-2-4-3
75,116,1,86,2-3-6-5-4-1
76,117,2,85,3-6-1-5-4-2
77,118,6,77,1-2-3-4-5-6
78,119,3,63,1-5-2-6-4-3
79,120,5,61,1-3-2-6-4-5
80,121,5,63,1-2-3-4-6-5
81,122,2,88,1-3-6-5-4-2
82,123,3,67,1-2-5-4-6-3
83,124,6,87,1-5-4-3-2-6
84,125,6,114,1-3-2-5-4-6
85,126,5,65,1-6-3-2-4-5
86,127,2,127,3-1-5-6-4-2
87,128,5,62,1-3-6-2-4-5
88,129,3,52,6-5-2-1-4-3
89,130,2,87,1-5-6-3-4-2
90,131,6,125,1-5-2-3-4-6
91,132,2,55,6-5-3-1-4-2
92,133,5,59,1-2-3-6-4-5
93,134,5,31,3-1-2-4-6-5
94,135,6,81,1-3-5-4-2-6
95,136,1,23,4-2-6-5-3-1
96,137,5,57,1-3-2-6-4-5
97,138,5,49,6-2-3-1-4-5
98,139,3,65,1-6-2-5-4-3
99,140,5,70,6-1-3-2-4-5
100,141,6,124,1-2-3-5-4-6
